ID,Category,Build or reuse,Technology,Role in the stack,Why this choice,Where it runs,Infrastructure,Notes
I1,Ingestion layer,Reuse,Format readers,Turn each incoming document into plain text. One format reader exists per supported format.,We decided to reuse the readers that run today. New readers would repeat what the current ones already do.,Ingestion jobs,"Container jobs, started when a file arrives",Row I2 consumes the reader output.
I2,Ingestion layer,Build,Text normalizer,"Turn reader output into one canonical form, fixing character encoding, spacing, and token boundaries.",We decided to normalize once. Every later component then reads one form instead of handling each variation itself.,Ingestion jobs,"Container jobs, run after row I1",
I3,Ingestion layer,Adapt,Metadata extractor,"Copy document properties into index fields: author, date, and source system.","We decided to adapt the existing extractor. The mechanism exists, and this system supplies only the field mapping.",Ingestion jobs,"Container jobs, run after row I2",
N1,Index layer,Reuse,Inverted index,Map each term to the documents that contain it. The core lookup structure for search.,"We decided to keep the inverted index. Its lookup cost per term stays flat as the collection grows, and a full scan's cost does not (row X1).",The search cluster,A managed search cluster,
N2,Index layer,Adapt,Synonym table,"Map equivalent terms, so a search for one form also finds the others.","We decided to adapt the existing table. Wording differs across source systems, and the table absorbs that difference once, at index time.",The search cluster,Configuration deployed with the index,Table entries are versioned. Row Q1 reads the active version.
Q1,Query layer,Build,Query service,"Accept a search request, expand it through the synonym table, and read the index.",We decided that one service owns query meaning. Every caller then gets the same answer for the same request.,Always-on service,A small always-on container service,
Q2,Query layer,Build,Result ranker,Order the matching documents before the query service returns them.,We propose ordering by term frequency and by how recent a document is. Nothing has evaluated the proposal against sample searches.,Inside the query service (row Q1),None. Row Q1 supplies the runtime.,"The ranking rule is proposed, not selected. Row Q1 returns matches in index order until a rule is selected."
O1,Operations,Reuse,Object storage,Hold the source documents and the index snapshots.,We decided to reuse the object storage the team already operates. No further storage system is needed.,All layers,"Managed object storage, with rules that expire old snapshots",
O2,Operations,Reuse,Monitoring,"Collect job outcomes, search response time, and index freshness.","We decided to reuse the existing monitoring. It already collects all three signals, so no further tooling is needed.",All layers,The existing metrics and logging pipeline,None. The row states coverage and asks for no action.
X1,Considered and not used,Excluded by design,Full scan at query time,"Read every document on every search, instead of consulting an index.","We decided against a full scan. Its cost rises with the size of the collection, and search response time has a fixed budget.","Not applicable. The approach was not taken, so nothing runs it.","Not applicable. The approach was not taken, so nothing is deployed.",Row N1 is the approach taken instead.
X2,Considered and not used,Excluded by design,Hosted third-party search,"Send the documents to an outside search provider, and search them there.","We decided against an outside provider. The documents may not leave the operating environment, and the index has to stay open to inspection.","Not applicable. The approach was not taken, so nothing runs it.","Not applicable. The approach was not taken, so nothing is deployed.",Row N1 is the approach taken instead.
