# Retired permanent rule IDs
#
# These IDs remain reserved. The current language specification does not load
# their retired process text. Historical releases retain the original text.
#
# ID       Retired in       Companion mapping
8.1.1      0.10.0-draft     assurance/README.md#profile-aware-checklist
8.1.2      0.10.0-draft     assurance/README.md#profile-aware-checklist
8.1.3      0.10.0-draft     assurance/README.md#profile-aware-checklist
8.1.4      0.10.0-draft     assurance/README.md#scan-protocol
8.1.5      0.10.0-draft     assurance/README.md#scan-protocol
8.2.4      0.10.0-draft     assurance/README.md
8.3.1      0.10.0-draft     assurance/README.md#independent-reader-protocol
8.3.2      0.10.0-draft     assurance/README.md#independent-reader-protocol
8.3.3      0.10.0-draft     assurance/README.md#independent-reader-protocol
8.3.4      0.10.0-draft     assurance/README.md#independent-reader-protocol
8.3.5      0.10.0-draft     assurance/README.md#independent-reader-protocol
8.4.1      0.10.0-draft     assurance/README.md#optional-assurance-levels
8.4.2      0.10.0-draft     assurance/README.md#reviewed
8.4.3      0.10.0-draft     assurance/README.md#reviewed
8.4.4      0.10.0-draft     assurance/README.md#reviewed
8.5.1      0.10.0-draft     assurance/README.md#accepted-deviations
8.5.2      0.10.0-draft     assurance/README.md#accepted-deviations
8.6.3      0.10.0-draft     assurance/README.md
8.6.4      0.10.0-draft     assurance/README.md
8.6.5      0.10.0-draft     assurance/README.md
8.7.1      0.10.0-draft     assurance/README.md#machine-proposed-comments
8.7.2      0.10.0-draft     assurance/README.md#machine-proposed-comments
8.7.3      0.10.0-draft     assurance/README.md#machine-proposed-comments
8.7.4      0.10.0-draft     assurance/README.md#machine-proposed-comments
